employeeid,age,income,education
A0745,63,45033,Master
A0746,20,72539,PhD
A0747,46,8178,Bachelor
A0748,52,26192,Master
A0749,56,48145,Master
A0750,35,63323,High School
A0751,37,48956,PhD
A0752,60,48565,Bachelor
A0753,40,48174,Master
A0754,51,23557,Bachelor
A0755,50,67371,Bachelor
A0756,27,39759,Bachelor
A0757,50,66343,Master
A0758,64,48942,Master
A0759,50,66022,Bachelor
A0760,43,55149,High School
A0761,37,48400,Bachelor
A0762,32,53394,High School
A0763,54,27905,Master
A0764,50,50090,Bachelor
A0765,34,75741,Bachelor
A0766,22,69623,High School
A0767,21,35225,Bachelor
A0768,20,57585,PhD
A0769,38,53720,Master
A0770,57,62258,PhD
A0771,20,51412,High School
A0772,38,46497,PhD
A0773,25,69959,Master
A0774,59,53246,High School
A0775,53,68832,High School
A0776,46,64616,High School
A0777,56,45133,Bachelor
A0778,51,47495,High School
A0779,39,78947,PhD
A0780,48,52872,High School
A0781,45,38621,Master
A0782,52,31999,Master
A0783,51,64612,PhD
A0784,30,52404,High School
A0785,58,38119,PhD
A0786,21,60119,Bachelor
A0787,60,52396,PhD
A0788,23,25093,PhD
A0789,18,58830,High School
A0790,29,69998,High School
A0791,52,88398,Master
A0792,28,50524,Bachelor
A0793,40,53490,Bachelor
A0794,31,74099,PhD
A0795,36,52531,High School
A0796,54,54130,Bachelor
A0797,33,40541,Bachelor
A0798,61,29084,PhD
A0799,45,63690,Master
A0800,62,30896,High School
A0801,48,67110,Bachelor
A0802,24,38178,Master
A0803,63,53979,High School
A0804,44,44416,PhD
A0805,34,67619,Master
A0806,24,54513,Master
A0807,32,79386,PhD
A0808,57,33745,High School
A0809,29,56208,High School
A0810,25,50710,Bachelor
A0811,19,54199,Master
A0812,61,73939,High School
A0813,55,58780,Master
A0814,43,32787,PhD
A0815,38,58003,High School
A0816,30,43766,Bachelor
A0817,36,42900,PhD
A0818,35,65688,High School
A0819,19,40965,High School
A0820,62,44304,High School
A0821,59,50486,High School
A0822,45,64193,Master
A0823,40,58724,Bachelor
A0824,21,46484,Master
A0825,21,45917,High School
A0826,29,32598,PhD
A0827,39,38602,Master
A0828,43,40184,Bachelor
A0829,57,47761,Bachelor
A0830,59,79801,High School
A0831,52,39868,Master
A0832,21,45563,High School
A0833,29,19214,High School
A0834,21,59009,Bachelor
A0835,48,26338,Bachelor
A0836,24,36401,Master
A0837,27,65635,PhD
A0838,41,18426,Bachelor
A0839,32,51439,High School
A0840,56,62014,High School
A0841,37,72882,PhD
A0842,24,36199,Master
A0843,30,40640,High School
A0844,45,77067,Master
A0845,56,49624,Bachelor
A0846,35,38956,Bachelor
A0847,64,39238,Master
A0848,28,35412,High School
A0849,53,43405,High School
A0850,53,66323,High School
A0851,19,63316,Bachelor
A0852,63,32386,High School
A0853,34,53219,Bachelor
A0854,23,43968,High School
A0855,58,61737,Bachelor
A0856,63,47655,PhD
A0857,40,55573,Master
A0858,64,47621,Master
A0859,33,17194,Master
A0860,58,50705,PhD
A0861,43,30924,PhD
A0862,63,61207,High School
A0863,18,39803,High School
A0864,53,40925,High School
A0865,47,49866,High School
A0866,19,58667,Bachelor
A0867,37,47454,Master
A0868,22,74633,PhD
A0869,48,74732,Master
A0870,25,75732,Master
A0871,47,46485,PhD
A0872,56,27771,Bachelor
A0873,19,68301,Master
A0874,30,43755,Master
A0875,21,50572,High School
A0876,62,59425,PhD
A0877,25,25933,Bachelor
A0878,56,74437,PhD
A0879,42,63124,High School
A0880,24,55284,Master
A0881,31,63364,Bachelor
A0882,46,58354,Bachelor
A0883,62,51752,PhD
A0884,38,45383,Bachelor
A0885,54,38913,High School
A0886,50,54308,High School
A0887,58,55418,Bachelor
A0888,42,66248,High School
A0889,63,53010,PhD
A0890,31,37202,Master
A0891,26,26357,Bachelor
A0892,32,48087,Master
A0893,24,49588,Master
A0894,19,48529,High School
A0895,48,27042,PhD
A0896,24,66117,PhD
A0897,58,66089,PhD
A0898,28,37651,Bachelor
A0899,30,62090,Master
A0900,30,64292,High School
A0901,43,50577,PhD
A0902,60,35773,Bachelor
A0903,25,74201,High School
A0904,31,55714,PhD
A0905,62,46234,Master
A0906,19,61593,PhD
A0907,59,74333,Master
A0908,32,42543,Bachelor
A0909,41,60371,PhD
A0910,51,79147,Master
A0911,21,33252,Master
A0912,35,41761,Master
A0913,42,41032,Bachelor
A0914,64,47625,PhD
A0915,41,46850,PhD
A0916,23,54512,Master
A0917,51,37694,Master
A0918,55,40660,PhD
A0919,20,54519,High School
A0920,36,52324,High School
A0921,64,63111,Master
A0922,63,56140,Master
A0923,53,61578,High School
A0924,36,32856,PhD
A0925,45,44249,PhD
A0926,64,77726,Bachelor
A0927,27,55881,PhD
A0928,35,61211,High School
A0929,21,54091,Master
A0930,29,56380,PhD
A0931,44,46536,PhD
A0932,46,103574,Bachelor
A0933,29,44058,Bachelor
A0934,28,49425,High School
A0935,21,13627,Master
A0936,63,66594,PhD
A0937,41,41716,Bachelor
A0938,43,49088,PhD
A0939,45,42079,PhD
A0940,64,47920,High School
A0941,21,45736,Master
A0942,53,49354,Master
A0943,32,49208,Bachelor
A0944,39,47687,Master
A0945,41,47482,High School
A0946,41,69628,Master
A0947,54,63221,High School
A0948,22,63312,PhD
A0949,23,39013,Bachelor
A0950,27,68852,High School
A0951,20,66975,Bachelor
A0952,55,41699,Master
A0953,51,72858,High School
A0954,23,39752,High School
A0955,27,22370,Bachelor
A0956,33,66523,PhD
A0957,46,48207,Bachelor
A0958,20,64654,Bachelor
A0959,28,38687,PhD
A0960,54,31073,Master
A0961,21,68478,High School
A0962,21,28891,PhD
A0963,41,26585,Bachelor
A0964,45,21116,PhD
A0965,52,8083,Master
A0966,55,34413,PhD
A0967,41,17459,Master
A0968,39,49466,Master
A0969,43,16454,High School
A0970,35,33586,Master
A0971,20,84981,Master
A0972,63,55177,High School
A0973,28,50792,PhD
A0974,26,25689,High School
A0975,50,46316,Bachelor
A0976,43,50722,Bachelor
A0977,53,25922,High School
A0978,21,51893,High School
A0979,19,67868,PhD
A0980,25,44776,Master
A0981,24,47041,Bachelor
A0982,53,19369,PhD
A0983,51,29011,PhD
A0984,57,65865,Master
A0985,36,40077,Master
A0986,46,36054,PhD
A0987,56,39611,Bachelor
A0988,23,49138,PhD
A0989,27,32624,Bachelor
A0990,58,51898,Master
A0991,59,29600,High School
A0992,22,61610,Bachelor
A0993,41,34144,PhD
A0994,58,69804,PhD
A0995,39,49850,Bachelor
A0996,43,37315,PhD
A0997,54,63672,High School
A0998,62,29383,High School
A0999,46,41794,Master
A1000,53,49999,High School
A1001,37,48182,High School
A1002,35,19871,Master
A1003,57,36190,Master
A1004,62,52524,PhD
A1005,58,30202,Bachelor
A1006,32,68996,PhD
A1007,32,57428,High School
A1008,41,42286,Bachelor
A1009,46,46696,High School
A1010,34,77923,High School
A1011,64,64040,High School
A1012,42,55703,High School
A1013,33,28767,PhD
A1014,34,74444,High School
A1015,64,65786,High School
A1016,64,47774,Master
A1017,38,41755,PhD
A1018,61,47181,PhD
A1019,44,31971,PhD
A1020,22,42938,High School
A1021,39,61447,PhD
A1022,50,22886,Bachelor
A1023,57,45289,High School
A1024,19,51706,Bachelor
A1025,52,51554,PhD
A1026,60,32316,High School
A1027,36,32268,PhD
A1028,57,66337,High School
A1029,44,31632,PhD
A1030,57,65130,Bachelor
A1031,53,42765,PhD
A1032,56,66197,Master
A1033,19,43684,Master
A1034,58,32503,High School
A1035,35,62848,Master
A1036,63,49739,Master
A1037,40,71729,Master
A1038,43,63383,High School
A1039,28,46559,High School
A1040,18,43255,PhD
A1041,53,50351,High School
A1042,37,52853,PhD
A1043,48,36774,Bachelor
A1044,25,62629,PhD
A1045,57,44040,PhD
A1046,41,43655,Bachelor
A1047,37,41890,High School
A1048,32,53465,Master
A1049,47,39619,Bachelor
A1050,37,52025,Master
A1051,55,91499,Master
A1052,19,49196,High School
A1053,23,43490,PhD
A1054,59,24985,PhD
A1055,35,50753,High School
A1056,53,33362,Bachelor
A1057,31,44367,Bachelor
A1058,43,52274,Master
A1059,51,24035,PhD
A1060,47,52362,PhD
A1061,24,54568,High School
A1062,47,30543,High School
A1063,35,44115,High School
A1064,39,22540,PhD
A1065,34,73633,PhD
A1066,48,54958,PhD
A1067,34,47306,PhD
A1068,48,47548,High School
A1069,30,66972,PhD
A1070,44,48588,PhD
A1071,37,54962,PhD
A1072,34,72779,PhD
A1073,46,44807,PhD
A1074,56,33610,Master
A1075,52,37632,Bachelor
A1076,25,71430,Bachelor
A1077,60,51371,Bachelor
A1078,55,42465,Bachelor
A1079,32,64605,Master
A1080,18,64969,Master
A1081,50,42865,Bachelor
A1082,20,35421,PhD
A1083,56,26442,Master
A1084,55,23092,Bachelor
A1085,32,46025,Bachelor
A1086,59,36602,High School
A1087,35,77877,High School
A1088,55,50878,Master
A1089,48,20868,High School
A1090,37,71281,High School
A1091,24,52426,Master
A1092,54,60575,Master
A1093,44,60231,Bachelor
A1094,25,54448,Bachelor
A1095,31,57850,Master
A1096,32,53581,Master
A1097,24,33404,Bachelor
A1098,50,55501,Master
A1099,51,65359,PhD
A1100,21,46849,PhD
A1101,18,58270,Master
A1102,58,56294,High School
A1103,31,77235,Master
A1104,48,46209,PhD
A1105,55,45620,PhD
A1106,37,48246,Bachelor
A1107,20,48464,Master
A1108,52,15911,Bachelor
A1109,63,40361,High School
A1110,50,54498,High School
A1111,32,49876,PhD
A1112,20,38010,Master
A1113,45,40028,PhD
A1114,44,44666,Bachelor
A1115,64,37976,Master
A1116,64,42304,Bachelor
A1117,50,41909,Master
A1118,36,63431,High School
A1119,50,65246,Master
A1120,48,64004,Bachelor
A1121,21,56401,Master
A1122,49,39375,PhD
A1123,59,64397,Bachelor
A1124,45,45286,Master
A1125,33,50346,Master
A1126,60,70073,Bachelor
A1127,45,51260,High School
A1128,32,53709,High School
A1129,39,28808,High School
A1130,48,57305,Master
A1131,38,35300,Bachelor
A1132,49,65179,Master
A1133,24,47231,Bachelor
A1134,50,16457,High School
A1135,25,44630,Master
A1136,31,46579,Master
A1137,42,57282,High School
A1138,49,60058,Bachelor
A1139,45,45084,Master
A1140,19,65193,High School
A1141,34,2494,Bachelor
A1142,44,39290,PhD
A1143,19,33315,Master
A1144,25,31187,High School
A1145,55,64396,PhD
A1146,37,62438,Master
A1147,54,38363,Bachelor
A1148,38,67671,High School
A1149,43,51522,PhD
A1150,48,43675,PhD
A1151,37,39606,Master
A1152,23,38326,PhD
A1153,32,57092,High School
A1154,18,59752,High School
A1155,43,53578,High School
A1156,46,19247,PhD
A1157,19,54445,Bachelor
A1158,39,58481,High School
A1159,46,39962,Bachelor
A1160,26,50649,High School
A1161,58,22042,High School
A1162,38,31550,Master
A1163,49,45136,Bachelor
A1164,49,45354,Bachelor
A1165,64,55275,Bachelor
A1166,61,32196,High School
A1167,57,44882,PhD
A1168,43,42653,PhD
A1169,30,57920,PhD
A1170,20,71316,Bachelor
A1171,49,75814,Master
A1172,50,26473,Bachelor
A1173,50,49280,Master
A1174,59,33312,Bachelor
A1175,59,49029,Master
A1176,30,56344,High School
A1177,60,51222,PhD
A1178,23,49265,PhD
A1179,21,72246,High School
A1180,55,60815,Bachelor
A1181,23,45910,PhD
A1182,20,50363,High School
A1183,44,63063,PhD
A1184,57,59147,Master
A1185,37,43624,Bachelor
A1186,35,23371,High School
A1187,37,32230,Bachelor
A1188,47,52190,Master
A1189,27,23202,Bachelor
A1190,40,47714,PhD
A1191,64,43196,Bachelor
A1192,20,64989,High School
A1193,26,30229,Master
A1194,36,21023,Master
A1195,53,43705,High School
A1196,57,59521,Master
A1197,44,66049,PhD
A1198,59,36360,PhD
A1199,45,57054,Bachelor
A1200,60,33329,PhD
A1201,25,38768,High School
A1202,59,58514,Bachelor
A1203,25,60772,PhD
A1204,35,35009,High School
A1205,38,57123,PhD
A1206,63,21973,High School
A1207,30,46960,Bachelor
A1208,44,32986,High School
A1209,64,37885,High School
A1210,57,30859,PhD
A1211,33,58304,Bachelor
A1212,57,58308,High School
A1213,26,39632,PhD
A1214,44,55634,PhD
A1215,34,53919,PhD
A1216,20,48073,PhD
A1217,21,82373,PhD
A1218,57,37387,Bachelor
A1219,18,50215,PhD
A1220,31,44264,Master
A1221,25,44423,PhD
A1222,24,52391,Master
A1223,47,45584,Bachelor
A1224,42,37094,High School
A1225,56,51863,PhD
A1226,33,67735,PhD
A1227,28,64141,PhD
A1228,42,53046,Bachelor
A1229,50,38969,Master
A1230,38,52796,PhD
A1231,27,66270,Bachelor
A1232,26,67868,Bachelor
A1233,18,55395,Master
A1234,51,44535,PhD
A1235,48,46959,Bachelor
A1236,38,61581,PhD
A1237,41,60295,Bachelor
A1238,36,23635,Bachelor
A1239,38,59879,Bachelor
A1240,42,60669,Bachelor
A1241,37,36692,Master
A1242,43,38525,High School
A1243,24,38643,Bachelor
A1244,20,39796,Master
A1245,57,28749,PhD
A1246,25,54696,Bachelor
A1247,47,38214,Master
A1248,28,48944,Bachelor
A1249,25,42536,High School
A1250,54,53828,Bachelor
A1251,34,34841,High School
A1252,25,53679,PhD
A1253,64,55847,Bachelor
A1254,61,62414,High School
A1255,47,79517,Master
A1256,60,18618,Master
A1257,60,54805,Bachelor
A1258,33,39363,High School
A1259,21,21124,Bachelor
A1260,38,62624,Bachelor
A1261,51,69983,Bachelor
A1262,57,44126,Master
A1263,52,53164,Bachelor
A1264,30,49039,Master
A1265,60,56513,PhD
A1266,44,63208,Bachelor
A1267,25,55174,Master
A1268,58,55187,Bachelor
A1269,59,68896,Bachelor
A1270,46,47530,Master
A1271,33,63846,Master
A1272,60,37670,High School
A1273,63,74106,Bachelor
A1274,22,61067,Bachelor
A1275,54,43944,High School
A1276,57,18282,PhD
A1277,57,49995,Master
A1278,59,32273,PhD
A1279,27,54495,Master
A1280,32,71768,High School
A1281,38,52401,Bachelor
A1282,51,47330,High School
A1283,39,55133,Master
A1284,39,54285,PhD
A1285,26,14557,PhD
A1286,43,53614,Master
A1287,30,59304,Master
A1288,35,46110,High School
A1289,18,64678,Bachelor
A1290,40,48085,Master
A1291,50,61505,Bachelor
A1292,64,84097,Master
A1293,48,48554,PhD
A1294,38,20868,Master
A1295,40,44951,PhD
A1296,33,24112,PhD
A1297,44,59169,Master
A1298,54,69640,PhD
A1299,55,60438,PhD
A1300,31,54805,Master
A1301,54,40326,Bachelor
A1302,64,73635,High School
A1303,24,61299,Master
A1304,29,54267,PhD
A1305,45,53073,Bachelor
A1306,20,51674,Master
A1307,39,56783,High School
A1308,38,40800,PhD
A1309,46,72879,Master
A1310,37,52285,Master
A1311,20,59001,High School
A1312,44,43496,PhD
A1313,38,55624,Master
A1314,58,15774,PhD
A1315,50,33226,Bachelor
A1316,47,49529,Master
A1317,56,30163,High School
A1318,58,86591,High School
A1319,26,24979,Master
A1320,55,55189,Master
A1321,40,74837,Master
A1322,40,57219,Master
A1323,18,45347,High School
A1324,38,41718,High School
A1325,49,60099,PhD
A1326,62,37996,Bachelor
A1327,43,48208,Master
A1328,50,60368,High School
A1329,26,45382,Master
A1330,34,51313,Bachelor
A1331,23,45439,High School
A1332,63,35453,High School
A1333,24,67837,Bachelor
A1334,24,70896,Bachelor
A1335,54,45250,Bachelor
A1336,22,46016,Master
A1337,50,47332,Master
A1338,27,58082,PhD
A1339,34,36420,Bachelor
A1340,57,48672,Bachelor
A1341,45,53944,High School
A1342,64,59631,Bachelor
A1343,63,8287,Bachelor
A1344,39,56051,High School
A1345,38,55188,Bachelor
A1346,64,65116,High School
A1347,49,42106,PhD
A1348,49,42225,PhD
A1349,53,68038,Bachelor
A1350,48,26553,PhD
A1351,23,74436,Bachelor
A1352,38,88338,High School
A1353,52,57162,PhD
A1354,31,62211,Master
A1355,40,27656,Bachelor
A1356,59,39582,Master
A1357,41,65868,High School
A1358,47,55427,Bachelor
A1359,27,47279,High School
A1360,22,53493,High School
A1361,59,57605,Master
A1362,47,45604,Bachelor
A1363,24,49566,Bachelor
A1364,23,49455,Master
A1365,25,34216,Bachelor
A1366,43,54854,Bachelor
A1367,35,77054,Master
A1368,53,75979,Bachelor
A1369,43,27854,PhD
A1370,53,58559,Master
A1371,58,60133,Master
A1372,21,43842,PhD
A1373,30,35537,High School
A1374,41,30188,Master
A1375,48,43329,Master
A1376,39,55250,High School
A1377,57,47629,High School
A1378,35,40836,PhD
A1379,51,31263,Master
A1380,40,55261,Master
A1381,56,65998,High School
A1382,64,36096,High School
A1383,54,56726,High School
A1384,64,21808,High School
A1385,18,40138,PhD
A1386,59,60944,Master
A1387,37,33233,Bachelor
A1388,64,40933,Bachelor
A1389,42,71270,Bachelor
A1390,23,39007,PhD
A1391,47,37191,Master
A1392,37,58638,PhD
A1393,26,79321,PhD
A1394,35,46405,Master
A1395,57,61531,High School
A1396,20,70187,PhD
A1397,53,54883,Master
A1398,23,45951,Bachelor
A1399,61,36855,PhD
A1400,55,28622,Master
A1401,18,66676,High School
A1402,36,52714,High School
A1403,55,69992,PhD
A1404,45,64834,PhD
A1405,64,40745,Master
A1406,26,32197,Master
A1407,64,56190,High School
A1408,27,40512,Master
A1409,41,55650,PhD
A1410,43,39033,Bachelor
A1411,25,37082,Bachelor
A1412,22,47885,High School
A1413,30,64012,PhD
A1414,39,54598,PhD
A1415,51,67676,Master
A1416,42,31497,Bachelor
A1417,40,34144,Master
A1418,58,48663,Bachelor
A1419,38,82486,Master
A1420,20,60114,PhD
A1421,25,34001,PhD
A1422,63,48858,High School
A1423,56,53311,Master
A1424,56,41470,PhD
A1425,39,59199,PhD
A1426,62,47653,Master
A1427,28,45510,High School
A1428,40,68904,PhD
A1429,33,24355,High School
A1430,45,35573,Bachelor
A1431,52,37740,High School
A1432,59,37285,Bachelor
A1433,46,39069,Bachelor
A1434,55,57327,Bachelor
A1435,23,66448,High School
A1436,31,63741,Bachelor
A1437,46,34707,Bachelor
A1438,45,48389,High School
A1439,27,56784,High School
A1440,63,53600,Bachelor
A1441,64,69586,High School
A1442,21,39870,High School
A1443,41,52345,Master
A1444,19,44102,High School
A1445,63,53766,Master
A1446,46,33817,Master
A1447,42,36066,High School
A1448,48,39048,Master
A1449,64,41545,Bachelor
A1450,63,73219,PhD
A1451,32,67631,PhD
A1452,55,46810,PhD
A1453,50,52594,Bachelor
A1454,25,26083,Bachelor
A1455,57,47311,Master
A1456,33,52394,Master
A1457,55,67185,High School
A1458,61,54902,PhD
A1459,58,56493,Master
A1460,51,54466,Bachelor
A1461,23,54035,Master
A1462,56,29049,Bachelor
A1463,57,43749,Bachelor
A1464,40,71523,High School
A1465,38,62358,High School
A1466,52,57414,Master
A1467,64,51001,PhD
A1468,46,59892,Master
A1469,52,35827,High School
A1470,19,26299,Master
A1471,50,44269,Bachelor
A1472,43,58069,Bachelor
A1473,61,51617,Master
A1474,49,65209,Master
A1475,35,55272,Master
A1476,51,50673,Bachelor
A1477,47,69912,Bachelor
A1478,61,66986,Master
A1479,40,48529,High School
A1480,37,33454,Master
A1481,63,36390,Bachelor
A1482,40,47578,PhD
A1483,57,44498,PhD
A1484,25,74866,High School
A1485,31,24798,Bachelor
A1486,40,49036,Master
A1487,63,34007,High School
A1488,31,51752,Master
A1489,19,55734,Master
A1490,21,43927,Bachelor
A1491,41,57957,PhD
A1492,53,47021,Bachelor
A1493,26,47309,High School
A1494,33,43732,Master
A1495,49,59762,PhD
A1496,49,52078,Master
A1497,44,73599,Master
A1498,32,69050,Master
A1499,21,58307,High School
A1500,53,17608,Bachelor
A1501,42,27735,High School
A1502,32,64794,High School
A1503,29,42865,PhD
A1504,24,53523,Master
A1505,53,40543,Bachelor
A1506,41,57768,High School
A1507,23,64370,High School
A1508,58,31856,PhD
A1509,62,37796,Master
A1510,48,25044,Master
A1511,38,53501,Bachelor
A1512,28,25021,PhD
A1513,33,44509,High School
A1514,31,57794,High School
A1515,42,80871,PhD
A1516,31,55526,Master
A1517,55,68793,Master
A1518,35,53887,High School
A1519,31,54639,Master
A1520,41,46836,PhD
A1521,25,44251,PhD
A1522,62,67616,Master
A1523,42,55620,Master
A1524,51,55044,Bachelor
A1525,62,40877,Master
A1526,61,44824,High School
A1527,45,81012,High School
A1528,41,48987,Bachelor
A1529,35,69893,Master
A1530,51,42196,PhD
A1531,59,62023,Bachelor
A1532,20,54347,PhD
A1533,29,43944,PhD
A1534,53,59728,High School
A1535,22,26848,Master
A1536,36,58619,High School
A1537,29,61804,Bachelor
A1538,44,54096,Bachelor
A1539,34,69664,High School
A1540,60,48978,Master
A1541,45,47763,Bachelor
A1542,57,55326,Master
A1543,39,63016,Bachelor
A1544,27,58548,Bachelor
A1545,58,46601,High School
A1546,23,35072,PhD
A1547,34,59952,Master
A1548,29,38156,High School
A1549,23,37726,High School
A1550,60,40180,High School
A1551,39,50866,Bachelor
A1552,33,38056,Master
A1553,21,32965,Master
A1554,42,40117,High School
A1555,50,47250,Master
A1556,18,56814,High School
A1557,32,51009,Bachelor
A1558,34,33793,Bachelor
A1559,60,53430,High School
A1560,36,54841,Master
A1561,36,43176,Master
A1562,37,38056,High School
A1563,18,38051,Bachelor
A1564,40,42023,PhD
A1565,33,83214,Bachelor
A1566,41,36664,Master
A1567,37,53990,High School
A1568,32,39288,Master
A1569,41,42410,Master
A1570,54,39408,High School
A1571,58,62018,High School
A1572,50,55687,Bachelor
A1573,49,48060,Master
A1574,48,57544,Master
A1575,32,61152,Master
A1576,18,37239,Master
A1577,29,58209,PhD
A1578,52,39236,High School
A1579,54,62569,High School
A1580,47,61103,Master
A1581,43,56056,Master
A1582,28,46851,Master
A1583,49,42108,Master
A1584,19,46046,PhD
A1585,27,61537,Master
A1586,63,39765,PhD
A1587,39,50745,Master
A1588,26,23786,Master
A1589,47,53906,PhD
A1590,42,34467,High School
A1591,38,30228,Master
A1592,35,57781,Master
A1593,37,53155,Bachelor
A1594,57,43349,High School
A1595,33,45469,High School
A1596,56,84066,PhD
A1597,52,47088,PhD
A1598,46,46982,Master
A1599,63,59785,PhD
A1600,47,51308,PhD
A1601,20,64811,PhD
A1602,49,54162,PhD
A1603,31,61416,Bachelor
A1604,43,56650,High School
A1605,22,59680,Master
A1606,45,49360,Master
A1607,25,53338,Bachelor
A1608,62,45934,Master
A1609,50,59063,PhD
A1610,53,29809,Bachelor
A1611,30,60892,PhD
A1612,37,64970,Master
A1613,35,61126,High School
A1614,37,48439,Master
A1615,60,57578,PhD
A1616,50,38351,PhD
A1617,38,62557,Master
A1618,63,33512,High School
A1619,41,58906,PhD
A1620,45,57990,Master
A1621,22,56101,High School
A1622,47,43294,Bachelor
A1623,60,61402,Master
A1624,41,22441,PhD
A1625,56,61658,High School
A1626,31,52872,PhD
A1627,53,65764,PhD
A1628,53,53001,PhD
A1629,43,77573,High School
A1630,30,35873,High School
A1631,57,59141,High School
A1632,38,36710,Bachelor
A1633,43,48104,High School
A1634,51,61136,Bachelor
A1635,57,59381,High School
A1636,31,81193,Bachelor
A1637,38,44729,Bachelor
A1638,60,69290,High School
A1639,64,46185,Master
A1640,36,39486,High School
A1641,29,25656,High School
A1642,53,52440,High School
A1643,47,42180,High School
A1644,61,62713,PhD
A1645,50,42074,High School
A1646,61,42851,Master
A1647,40,55320,PhD
A1648,58,75818,Master
A1649,30,33670,PhD
A1650,45,65264,PhD
A1651,45,63112,Master
A1652,36,46686,PhD
A1653,54,60131,High School
A1654,48,45736,Bachelor
A1655,59,85571,Master
A1656,56,48319,Master
A1657,34,51206,High School
A1658,45,45113,High School
A1659,21,24598,Master
A1660,23,46053,PhD
A1661,36,53481,PhD
A1662,40,72514,Bachelor
A1663,57,57379,Bachelor
A1664,62,47159,PhD
A1665,59,50899,High School
A1666,23,54910,Bachelor
A1667,41,44316,High School
A1668,39,60234,High School
A1669,38,74376,High School
A1670,31,44553,High School
A1671,41,68113,High School
A1672,42,63145,Master
A1673,34,58059,High School
A1674,63,51679,PhD
A1675,52,55067,Bachelor
A1676,34,46739,Bachelor
A1677,45,77553,Master
A1678,19,39224,Master
A1679,51,67024,PhD
A1680,18,73246,Bachelor
A1681,64,45153,PhD
A1682,20,67488,PhD
A1683,39,52160,High School
A1684,59,50935,High School
A1685,21,48882,PhD
A1686,32,25794,PhD
A1687,53,58219,Master
A1688,56,71653,PhD
A1689,29,39429,PhD
A1690,54,62710,High School
A1691,58,48722,Master
A1692,24,33610,PhD
A1693,48,64968,Bachelor
A1694,22,75291,PhD
A1695,44,38086,Bachelor
A1696,42,53237,PhD
A1697,34,28404,Master
A1698,45,49370,Bachelor
A1699,44,57291,Bachelor
A1700,43,76294,High School
A1701,46,73364,PhD
A1702,44,74637,Master
A1703,34,42094,PhD
A1704,55,46323,Master
A1705,33,25035,High School
A1706,26,39273,Bachelor
A1707,49,28223,PhD
A1708,18,55483,Master
A1709,26,39545,Bachelor
A1710,24,33479,Bachelor
A1711,61,44669,Master
A1712,54,32227,Bachelor
A1713,57,54635,Master
A1714,62,54267,High School
A1715,23,45264,Master
A1716,54,39040,Master
A1717,56,29908,PhD
A1718,21,58330,High School
A1719,54,53431,PhD
A1720,27,56965,Bachelor
A1721,27,45403,PhD
A1722,52,46731,High School
A1723,25,71630,Master
A1724,40,40991,High School
A1725,24,45310,PhD
A1726,19,61158,Master
A1727,55,54544,High School
A1728,37,19301,Master
A1729,48,24682,Master
A1730,47,40088,PhD
A1731,42,63654,High School
A1732,27,60075,Bachelor
A1733,34,57793,Bachelor
A1734,26,59416,Master
A1735,60,151553,Master
A1736,49,230052,High School
A1737,41,153936,Bachelor
A1738,33,247365,Master
A1739,63,174472,Bachelor
A1740,29,214081,Master
A1741,52,106275,PhD
A1742,60,132556,Master
A1743,64,254534,Bachelor
A1744,63,234587,High School